GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
e-donation-system,com.swatantra.donation.controller,DonationController,0,165,0,8,0,41,0,14,0,10
e-donation-system,com.swatantra.donation.exceptions.model,ExceptionMessage,72,21,12,0,16,8,11,4,5,4
e-donation-system,com.swatantra.donation.exceptions,InvalidDataException,0,4,0,0,0,2,0,1,0,1
e-donation-system,com.swatantra.donation.exceptions,NgoNotFoundException,0,4,0,0,0,2,0,1,0,1
e-donation-system,com.swatantra.donation.exceptions,DonorNotFoundException,0,4,0,0,0,2,0,1,0,1
e-donation-system,com.swatantra.donation.exceptions,GlobalExceptionHandler,0,54,0,0,0,7,0,4,0,4
e-donation-system,com.swatantra.donation,DonationApplication,6,3,0,0,2,1,1,1,1,1
e-donation-system,com.swatantra.donation.dto,NgoDto,44,112,9,11,3,31,10,17,1,16
e-donation-system,com.swatantra.donation.dto,DonationDto,0,45,0,0,0,19,0,13,0,13
e-donation-system,com.swatantra.donation.dto,DonorDto,49,125,10,12,3,34,11,19,1,18
e-donation-system,com.swatantra.donation.service.impl,DonationServiceImpl,0,69,0,4,0,18,0,6,0,4
e-donation-system,com.swatantra.donation.service.impl,DonorServiceImpl,0,176,0,8,0,44,0,11,0,7
e-donation-system,com.swatantra.donation.service.impl,NgoServiceImpl,0,60,0,2,0,16,0,5,0,4
e-donation-system,com.swatantra.donation.entity,NgoEntity,0,52,0,0,0,22,0,15,0,15
e-donation-system,com.swatantra.donation.entity,DonorEntity,0,59,0,0,0,25,0,17,0,17
e-donation-system,com.swatantra.donation.entity,DonationEntity,0,45,0,0,0,19,0,13,0,13
